caseid,reportedon,category,statuscode,casetype,Cops-Rops,sqlrequired,expclosedate,closedate,aging,currentowner,ConfigurationEffort[Hr],PM Effort [Hr],TestingEffort [Hr],TotalEffort [Hr],L1 Doc Approval,L2 Doc Approval,L3 Doc Approval,channel,details,subject
506528,06-06-2025,Configuration,Invalid,CR,CompanyOps,No,,06-09-2025,185 D,Lisha Gupta,0,,,,No,No,No,Web,"We are unable to assign Project-Product Training to the following employees.
GET's -
ketan.patil@businessnext.com
divyansh.singh@businessnext.com
rhutuja.bendre@businessnext.com
dewanshi.gupta@businessnext.com
akshada.chavan@businessnext.com
swaraj.lande@businessnext.com
hrushikesh.dube@businessnext.com
gourav.kushwaha@businessnext.com
jagriti.sharma@businessnext.com
prabal.sharma@businessnext.com
sujal.kumar@businessnext.com
ritesh.srivastav@businessnext.com
anish.mohite@businessnext.com
shubham.jha@businessnext.com
aditya.jain@businessnext.com
harshita.rathore@businessnext.com
mahima.agarwal@businessnext.com
Laterals-
madhusudan.vratesh@businessnext.com
aaditya.katare@businessnext.com
deepak.yadav@businessnext.com
sreeraj.tharakkal@businessnext.com
shazia.shaikh@businessnext.com
anurag.marakwar@businessnext.com",TIME SHEET FOR PRODUCT TRAINING CANDIDATES
506785,06-10-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-11-2025,181 D,Anubhav Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: O BEE Feedback PO
506042,06-03-2025,Configuration,Resolved,CR,CompanyOps,No,29-06-2025,06-12-2025,188 D,Dheeraj,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : RE: US Billing_June'25
506991,06-11-2025,User Creation,Resolved,CR,CompanyOps,No,,13-06-2025,180 D,Lisha Gupta,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
506795,06-10-2025,User Creation,Resolved,Incident,,,,13-06-2025,181 D,Lisha Gupta,0,,,,Yes,Yes,No,Web,Myportal user credentials for the new joiner - Divyansh Singh,Myportal user credentials for the new joiner - Divyansh Singh
502183,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
502190,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
496661,21-03-2025,Configuration,Resolved,CR,RevOps,No,04-05-2025,05-06-2025,262 D,Dheeraj,0,,,,Yes,Yes,No,Web,"Hello Team, 

New to add the milestone classification field in PO line level.",Milestone Classification field add PO line level
502703,05-08-2025,Configuration,Resolved,CR,CompanyOps,No,,05-12-2025,214 D,Niharika Verma,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Re: Partner account
502217,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
502215,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
502378,05-06-2025,Configuration,Resolved,CR,CompanyOps,No,,15-05-2025,216 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,Project Manager Role Access,Project Manager Role Access
502461,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: MyPortal Role
502464,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Unable to Login My Portal- Invalid User ID Error
502445,05-05-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,217 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Fw: Noida Travel
502441,05-05-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,217 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : MyPortal Role
502460,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : RE: MyPortal Role
502446,05-05-2025,Configuration,Resolved,CR,CompanyOps,No,29-05-2025,13-05-2025,217 D,Anubhav Gupta,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Re: SBC | BUSEINSSNEXT subscription | invoicing
501709,30-04-2025,Configuration,Resolved,CR,RevOps,No,21-05-2025,05-06-2025,222 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : RE: Account Scoring Issue: Care Health
502380,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Web,"Hi,
Please provide US PF Manager role to Gaurav Yogi. to work on MY Projects.

Name: Gaurav Yogi",US PF Manager role to Gaurav Yogi
502554,05-07-2025,Configuration,Invalid,CR,CompanyOps,No,05-06-2025,05-07-2025,215 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Request Access for the US Portfolio manager Role
502496,05-06-2025,User Creation,Resolved,CR,CompanyOps,No,,15-05-2025,216 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,"Myportal creation for Saloni Shah.

The details were filled for the user creation however, due to some technical glitch it wasn't saved.  Hence raising a case again to create the same.",Myportal creation for Saloni Shah
502459,05-06-2025,Configuration,Invalid,CR,CompanyOps,No,05-05-2025,05-06-2025,216 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Fw: Noida Travel
503053,05-12-2025,Configuration,Invalid,CR,CompanyOps,No,05-11-2025,05-12-2025,210 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : RE: Script for bug 332157
502903,05-09-2025,Configuration,Resolved,CR,RevOps,No,29-05-2025,06-12-2025,213 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,"Email Syndication : MY Portal Enhancements – KAM Hierarchy, Forecast View, and Project Details"
502746,05-08-2025,Configuration,Resolved,CR,CompanyOps,No,,05-12-2025,214 D,Niharika Verma,18,0.9,1.8,20.7,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

EC3316	Sunny . - sunny@businessnext.com
EC3027	Niharika Pratik Tandel - niharika.tandel@businessnext.com
EC2643	Ankita . - ankita.r.kumar@businessnext.com",User deactivate
502488,05-06-2025,Configuration,Resolved,CR,RevOps,No,28-05-2025,05-06-2025,216 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : Account Creation: Western Financial Group
502878,05-09-2025,Configuration,Invalid,CR,CompanyOps,No,05-11-2025,05-12-2025,213 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Request for Password Reset – mohamad.abdul@businessnext.com
502520,05-06-2025,Configuration,Resolved,CR,CompanyOps,No,,05-08-2025,216 D,Niharika Verma,12,0.6,1.2,13.8,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

	EC3048	Nilesh Hasmukh Gohil - nilesh.gohil@businessnext.com
	EC2794	Kundan Sinha - Kundan.Sinha@businessnext.com
	EC2732	Shrinath Mohanrao Mathane - shrinath.mathane@businessnext.com",User deactivate
502848,05-08-2025,Configuration,Resolved,CR,CompanyOps,No,,05-12-2025,214 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

EC2679	Upendra Kumar - upendra.kumar@businessnext.com
EC057	Nishant Awasthi - nishant.awasthi@businssnext.com",User deactivate
507182,06-12-2025,Configuration,Invalid,CR,CompanyOps,No,,20-06-2025,179 D,Namita Pangerkar,0,,,,No,No,No,Web,,Unable to fetch data in 'Resource Allocation Report'
503074,05-12-2025,Configuration,Invalid,CR,CompanyOps,No,05-12-2025,13-05-2025,210 D,Niharika Verma,0,,,,No,No,No,Web,"Dear Team,

 We are facing the 'Allocated time of the project has been consumed' while raising the CR on the portal. This error is coming for all the created projects. We are rasing this CR for SBI. we have attached the screenshot FYR.
  Project Name : SBI ATS 2025-26 | Project ID : 14184
  Account Name : State Bank of India | Account ID : 783

Please get this checked on priority and resolve it.

Regards,
Rahul Singh",Facing error 'Allocated time of the project has been consumed'
503087,05-12-2025,Configuration,Invalid,CR,CompanyOps,No,05-12-2025,13-05-2025,210 D,Niharika Verma,0,,,,No,No,No,Web,"Project Id: 00013364
Project Name: RHB - CRM Implementation Project

Entire RHB Team is facing the below challenge.
We do not have the access to create/add Work Units to our project.

Request for providing Work Unit Creation access to our team for the below roles:

1. Engr Solution Delivery
2. Sr. Engr Solution Delivery",Work Unit Creation Access not Available
503096,05-12-2025,Configuration,Resolved,CR,,,,19-05-2025,210 D,,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Request Help | Ignite Portal
503109,05-12-2025,User Creation,Resolved,CR,CompanyOps,No,,16-05-2025,210 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
503393,14-05-2025,Configuration,Invalid,CR,CompanyOps,No,13-05-2025,14-05-2025,208 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : RE: Partner account creation
504327,20-05-2025,Configuration,Invalid,CR,CompanyOps,No,,22-05-2025,202 D,Lisha Gupta,0,,,,No,No,No,Web,My scope is team hence i am not able to view any cases or modules tagged on the project. Project id :- 13283,My scope is team hence i am not able to view any cases or modules tagged on the project
503310,13-05-2025,Configuration,Invalid,CR,CompanyOps,No,13-05-2025,14-05-2025,209 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Partner account creation
503185,05-12-2025,Configuration,Resolved,CR,CompanyOps,No,,14-05-2025,210 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

	EC1722	Devendra Yadav - devendra.yadav@businessnext.com",User deactivate
504113,19-05-2025,User Creation,Resolved,CR,CompanyOps,No,,27-05-2025,203 D,Lisha Gupta,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
503149,05-12-2025,Configuration,Invalid,CR,CompanyOps,No,05-12-2025,13-05-2025,210 D,Niharika Verma,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: Request for Password Reset – mohamad.abdul@businessnext.com
504338,20-05-2025,Configuration,Invalid,CR,,,,06-11-2025,202 D,Lisha Gupta,0,,,,No,No,No,Web,Unable to see HR Helpdesk,Hr Helpdesk
503428,14-05-2025,Configuration,Resolved,CR,CompanyOps,No,,15-05-2025,208 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"Request you to kindly perform the project mapping of FY 2025-26 on the required user.

Project: Muthoot Finance AMC 2025-26 (Project ID: 14298)
User Name: Muthoot Group
Login id: muthootgroup
Company/Account: Muthoot Finance Limited

Kindly let us know via Teams if any concern/clarification required.",Update project on the required user
500619,22-04-2025,User Creation,Resolved,CR,CompanyOps,No,,05-02-2025,230 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Email,,User Creation
501089,24-04-2025,Configuration,Resolved,CR,CompanyOps,No,13-05-2025,05-02-2025,228 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Project Access in My portal.
500938,24-04-2025,Configuration,Resolved,CR,CompanyOps,No,,05-02-2025,228 D,Niharika Verma,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,Role Required - Project Manager
500681,22-04-2025,Configuration,Resolved,CR,CompanyOps,No,,15-05-2025,230 D,Niharika Verma,16,0.8,1.6,18.4,Yes,Yes,Yes,Web,"Greetings Team,

Please create a rule for auto closer of functional Queries raised from Production.

Below are the filter criteria : If 
 
Layout = Functional Query and

Status Code = Query Responded  and ATR Status (Field ID 2365 ) : Include in ATR

then update the ATR Status = Closed in ATR

Please let me know in case of any query /concern.


Thanks & Regards
Deepak Saini",Need to create a rule for Auto closer of Functional Query Layout
497293,26-03-2025,Configuration,Resolved,CR,CompanyOps,No,16-04-2025,05-02-2025,257 D,Niharika Verma,16,0.8,1.6,18.4,Yes,Yes,Yes,Web,"Axis Bank has reported an issue where they cannot view the ""Axis Reported Case"" report. Additionally, the ""Process"" field needs to be included in this report.

Details:

Role: Customer

Report Name: Axis Reported Case

Username: axis_support@crmnext.com

Please check and assist in resolving this issue.",Issue Reported by Axis Bank – Missing Report and Process Field.
501949,05-02-2025,Configuration,Invalid,Incident,CompanyOps,No,,05-02-2025,220 D,Niharika Verma,0,,,,No,No,No,Web,"While accessing Zeno 

I am getting an error: 
komal.paralkar@businessnext.com
You are not authorized to access this article or page.

Can you please check",Unable to access Zeno
506138,06-03-2025,Configuration,Invalid,CR,CompanyOps,No,,06-05-2025,188 D,Lisha Gupta,0,,,,No,No,No,Email,Email Syndication,Email Syndication : My Portal | Foothill | Change of Project Date
506139,06-03-2025,Configuration,Resolved,Incident,CompanyOps,No,,06-06-2025,188 D,Lisha Gupta,2,0.1,0.2,2.3,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Re: My Portal | Foothill | Change of Project Date
506052,06-03-2025,Configuration,Invalid,CR,CompanyOps,No,29-06-2025,06-11-2025,188 D,Prashila Karlenaik,0,,,,No,No,No,Web,"Add Status code ""Not a bug"" and ""Knowledge gap"" to login id - prashila.karlenaik@crmnext.in","Add Status code ""Not a bug"" and ""Knowledge gap"" to login id - prashila.karlenaik@crmnext.in"
506213,06-04-2025,Configuration,Invalid,CR,RevOps,Yes,29-06-2025,06-10-2025,187 D,Dheeraj,0,,,,No,No,No,Email,Email Syndication,Email Syndication : Re: RHB Opportunity TCV update
501712,30-04-2025,Configuration,Resolved,CR,CompanyOps,No,,21-05-2025,222 D,Lisha Gupta,200,10,20,230,Yes,Yes,Yes,Web,"I've attached sample impacted incident number for SMART category:00497312,00501505",Smart Account incident priorities are not being set to the correct value.
506079,06-03-2025,Configuration,Invalid,CR,CompanyOps,No,,06-05-2025,188 D,Lisha Gupta,0,,,,No,No,No,Web,,Please give access to 'US Portfolio Manager' Role
506241,06-04-2025,Configuration,Resolved,CR,CompanyOps,No,29-06-2025,06-11-2025,187 D,Lisha Gupta,6,0.3,0.6,6.9,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Request for My Portal Credentials
500703,22-04-2025,Configuration,Resolved,CR,CompanyOps,No,,05-06-2025,230 D,Niharika Verma,6,0.3,0.6,6.9,Yes,Yes,Yes,Web,"US portfolio Manger roles should be allowed to remove resource from a project. 
Currently access denied is showin.

Steps:
1. Login with role US portfolio Manger
2. go to project WESTconsin Credit Union Implementation (FY25/26)
3. Go to resource
4. Click 3 dots to remove a resource
5. Error is shown expected is resource should be removed",US portfolio Manger roles should be allowed to remove resource from a project
506377,06-05-2025,Configuration,Resolved,CR,CompanyOps,No,29-06-2025,06-12-2025,186 D,Himanshu Padaliya,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Account Creation: PNB Gilts Limited
502057,05-02-2025,Configuration,Resolved,CR,CompanyOps,No,,05-05-2025,220 D,Niharika Verma,24,1.2,2.4,27.6,Yes,Yes,Yes,Web,"Hi Team,

Please deactivate below user id in MY Portal.

IC9296	Anika Dogra-Anika.Dogra@businessnext.com
EC3135	Apurva Singh - apurva.singh2@businessnext.com
EC2991	Paras Dhawan - paras.dhawan@businessnext.com
EC3570	Gobdinni Hussain Peera - gobdinni.peera@businessnext.com
EC2234	Sachin Bind - sachin.bind@businessnext.com
EC2795	Akshata Anil Kamath -akshata.kamath@businessnext.com",User deactivate
506794,06-10-2025,User Creation,Resolved,Incident,,,,13-06-2025,181 D,Lisha Gupta,0,,,,Yes,Yes,No,Web,Myportal user credentials for the new joiner - Rhutuja Shivaji Bendre,Myportal user credentials for the new joiner - Rhutuja Shivaji Bendre
498441,04-04-2025,Configuration,Resolved,CR,RevOps,Yes,,05-06-2025,248 D,Dheeraj,0,,,,Yes,Yes,No,Email,Email Syndication,Email Syndication : RE: Issue with Account Scoring – Decision Maker/Influencer
506617,06-09-2025,Configuration,Resolved,CR,CompanyOps,No,,06-12-2025,182 D,Himanshu Padaliya,0,,,,Yes,Yes,Yes,Email,Email Syndication,Email Syndication : Account Creation: Resimac
502193,05-05-2025,User Creation,Resolved,CR,CompanyOps,No,,05-06-2025,217 D,Deepali Kumari,8,0.4,0.8,9.2,Yes,Yes,Yes,Web,,User Creation
